"","UBR","UBL","UFL","DFR","DFL","DBL","DBR","RUB","RDF","RDB","LUF","LUB","LDB","LDF","FUL","FDL","FDR","BUL","BUR","BDR","BDL",
"UBR","","[R' B' R: U', R D R']","[R F R': R' D' R, U]","[R' D R U' R D' R', U]","[R F': R' U' R, D]","[R' B: D', R U R']","[U', R D' R' U R' D R]","","[R' D' R, U]","[U', R D R']","[R': R' D' R, U']","[R: U, R D R']","[U', R D' R']","[R' D R, U]","[R: U2, R D R']","[D R' D' R, U]","[D' R' D R, U]","[R': R' D' R, U2]","","[U', D R D' R']","[U': D' R D R']",
"UBL","[R' B' R: R D R', U']","","[R' D' R U': U', R' D R]","[U R' D R: U2, R D' R']","[R F' R' U': R D R', U2]","[R' D' R: R U2 R', D]","[R D' R': R' D R, U2]","[U R D' U: R' D' R, U2]","[R' D' R, U2]","[U': R D R', U2]","[F: U2, R' D' R]","","[U': R D' R', U2]","[R' D R, U2]","[R' F R D': R D' R', U] go back to this","[D R' D' R, U2]","[D' R' D R, U2]","","[R': U2, D' R' D R]","[D': R' D' R, U2] but maybe switch","[D: R' D R, U2] but maybe switch to (see second row)",
"UFL","[R F R': U, R' D' R]","[R' D' R U': R' D R, U']","","[R' D R U' R D' R', U']","[U': U R' U' R, F2] sledge","[R' D' R: R U' R', D]","[R D' R': R' D R, U']","[U' R': U2, R' D' R]","[R' D' R, U']","[U': R D R', U']","","[U' R: R D R', U2]","[U': R D' R', U']","[R' D R, U']","","[D: R' D' R, U']","[D' R' D R, U']","[U' R': U', R' D' R]","[R': U', D' R' D R]","[D': R' D' R, U']","[D: R' D R, U']",
"DFR","[U, R' D R U' R D' R']","[U R' D R: R D' R', U2]","[U': R' D R U' R D' R']","","[U' R' U R: R U' R', D]","[R U' R' U: R D' R', U2]","[R U' R' D R' U R, D']","[U' D' R': U2, R' D R]","","[D' R: F2, R' U R U'] sledge","[R U' R': U2, R' D' R]","[U2 R': R' U R, D] or U R' D'...","[U2 R': R' U R, D']","[U D R: D' R' D R, U']","[R U' R': U2, D' R' D R]","[R U' R': U2, R' D R]","","[U' D' R': U', R' D R]","[U R': D', U' R U R']","[D' R: D R' D' R, U]","[U' D' R': U, R' D R]",
"DFL","[R F': D, R' U' R]","[R F' R' U: R D R', U2]","[U': F2, U R' U' R] sledge","[U' R' U R: D, R' U' R]","","[R U' R' D': R' U R, D']","[R U' R': D2, R' U R] or nightmare? (see below)","[U' R': U2, R' D R]","[R: D R' D' R, U]","[U' R': U, R' D R]","[U' R': D, U R U' R']","[D' R: U, R D' R']","[D R U' R': U2, R' D R]","","[R U' D: R' D' R, U2]","","[R: F2, R' U R U'] sledge","[U' R': U', R' D R]","[U D R' U': D', R U R'] or D' R D'...","[D' R: U', R D' R']","[U' D' R': U, R' D2 R]",
"DBL","[R' B: R U R', D']","[R' D' R: D, R U2 R']","[R' D' R: D, R U' R']","[R U' R' U': R D' R', U2]","[R U' R' D': R' U R, D']","","[R U' R': D', R' U R]","[U' D R': U2, R' D2 R]","[R: U', R D' R']","[U' R': U, R' D2 R]","[R2 D': R U' R', D']","[R: U, R D' R']","","[D R: F2, R' U R U'] sledge","[R: U2, R D' R']","[D R: D R' D' R, U]","[R' D' R: D, R U R'] new!","[U' D R': U', R' D R]","[R: D', U' R' U R]","[R D': U' R' U R, D2]","",
"DBR","[R D' R' U R' D R, U']","[R D' R': U2, R' D R]","[R D' R': U', R' D R]","[D': R U' R' D R' U R]","[R U' R': R' U R, D2] or nightmare? see NM","[R U' R': R' U R, D']","","[R': U, R' D R U' R D' R']","[R: R' D R U' R D' R', U]","","[R U' R': R' U R, D]","[D R: U, R D' R']","[R D' R': U, R' D R]","[U R: R U' R', D]","[D R: U2, R D' R']","[D R: U', R D' R']","[U R: D' R' D R, U']","[U R: R U' R', D']","[D R: U' R' U R, D']","","[U R: R U' R', D2]",
"RUB","","[U R U' D': R' D' R, U2]","[U' R': R' D' R, U2]","[U' D' R': R' D R, U2]","[U' R': R' D R, U2]","[U' D R': R' D R, U2]","[R': R' D R U' R D' R', U]","","[R: U', R D' R' U R' D R]","[U' D R' U': R D' R', U2] new!","[R U' D' R': R' U R, D] new!","[R: U, R D' R' U R' D R]","[U R: U2, R D' R']","[U R U': R' D R, U2]","[R': U', R' D R U' R D' R']","[U D' R: U2, R D' R']","[U' R' U': R D R', U2]","[U R: U2, R D R']","","[U D R: U2, R D' R']","[U' R' U': R D' R', U2]",
"RDF","[U, R' D' R]","[U2, R D' R]","[U', R' D' R]","","[R: U, D R' D' R]","[R: R D' R', U']","[R: U, R' D R U' R D' R']","[R: R D' R' U R' D R, U']","","[R: U, D' R' D R]","[R', U' R U R', D']","[U R' U': R D R', U']","[R U R', D2]","[U R' D': R U' R', D2]","[D' R U': R' D R, U2]","[R U R', D]","","[R': D, R' U R]","[R': U R U' R', D']","[R U R', D']","[U R' D': R U' R', D']",
"RDB","[R D R', U']","[U': R D R', U2]","[U': U', R D R']","[D' R: R' U R U', F2] sledge","[U' R': R' D R, U]","[U' R': R' D2 R, U]","","[U' D R' U: R D' R', U2] new!","[R D': R' D R, U]","","[R' U': R' D' R, U2]","[U' R: D', R U' R']","[R D: R' U' R, D2]","[D': U R U' R', D2]","[R U': D' R' D R, U2]","[R D: R' U' R, D]","[D', U R U' R']","[R' U: R' D' R, U]","[U' R: U R' U' R, D]","","[U' R' U' R, D']",
"LUF","[R': U', R' D' R]","[F: R' D' R, U2]","","[R U' R': R' D' R, U2]","[U' R': U R U' R', D]","[R2 D': D', R U' R']","[R U' R': D, R' U R]","[R U' D' R': D, R' U R] new!","[R': D', U' R U R']","[R': R' D' R, U2]","","[U' R' U, L]","[F: D2, R U R'] or RUD see below","[R': D, U' R U R']","","[D R': D', U' R U R']","[R: F, R' U R U']","[R' U': R' D' R, U']","[R' F: R U R', D] new!","[F: D', R U R']","[D R': D, U' R U R']",
"LUB","[R: R D R', U]","","[U' R: U2, R D R']","[U2 R': D, R' U R] or U R' D'...","[D' R: R D' R', U]","[R: R D' R', U]","[D R: R D' R', U]","[R: R D' R' U R' D R, U]","[U R' U': U', R D R']","[U' R: R U' R', D']","[L, U' R' U]","","[R: D' R D R', U]","[U R': U', R' D R]","[R' D R U': U', D' R' D R] change to this or second down here","[R U: R' D R, U]","[R U R': R' D' R, U']","","[U R': U', R' D' R]","[R U: R' D' R, U]","[U D R': U', R' D R]",
"LDB","[R D' R', U']","[U: R D' R', U2]","[U': U', R D' R']","[U2 R': D', R' U R]","[D R U' R': R' D R, U2]","","[R D' R': R' D R, U]","[U R: R D' R', U2]","[D2, R U R']","[R D': R' U' R, D2]","[F: R U R', D2] or RUD see jw","[R: U, D' R D R']","","[D R': R D' R' D, F']","[D R U': R' D R, U2]","[D: D, R U R']","[U R U': R D' R', U']","[U2: R: R D' R', U]","[U' R: U R' U' R, D']","[D': D', R U R']","",
"LDF","[U, R' D R]","[U2, R' D R]","[U', R' D R]","[U D R: U', D' R' D R]","","[D R: R' U R U', F2] sledge","[U R: D, R U' R']","[U R U: R' D R, U2]","[U R' D: R U' R', D2]","[D: U R U' R', D2]","[R': U' R U R', D]","[U R': R' D R, U']","[D R': F', R D' R' D] sledge","","[R' D: D' R D R', F2] sledge","","[D, U R U' R']","[U' R': U', D R' D' R]","[R': U R U' R', D]","[R' D: R' U' R, D]","[D: U R U' R', D]",
"FUL","[R: R D R', U2]","[R' F R D': U, R D' R'] go back to this","","[R U R': D' R' D R, U2]","[R U D: R' D' R, U2]","[R: R D' R', U2]","[D R: R D' R', U2]","[R': R' D R U' R D' R', U']","[D R U: R' D' R, U2]","[R U: D' R' D R, U2]","","[R' D R U': D' R' D R, U'] change to this or second down here","[D R U: R' D R, U2] or R U D (see below)","[D R': R D' R' D, F2] sledge","","[R U: R' D R, U2]","[R': R D' R' D, F2] sledge","[R U R' D': U2, R' D R]","[R D' U: R' D' R, U2]","[R U: R' D' R, U2]","[D' R U: D' R' D R, U2]",
"FDL","[U, D R' D' R]","[U2, D R' D' R]","[U', D R' D' R]","[R U' R': R' D R, U2]","","[D R: U, D R' D' R]","[D R: U', R D' R']","[U D' R: R D' R', U2]","[D, R U R']","[R D: R' U' R, D]","[D R': U R U' R', D']","[R U: U, R' D R]","[D: R U R', D]","","[R U': R' D R, U2]","","[R': R D' R' D, F']","[D R': D, R' U R]","[R' F: R U' R', D] different from Elliot","[D: R U R', D2]","[R' F': R U R', D2] or D' R D'...",
"FDR","[U, D' R' D R]","[U2, D' R' D R]","[U', D' R' D R]","","[R: R' U R U', F2] sledge","[R' D' R: R U R', D] new!","[U R D': U', R' D R]","[U' R' U: R D R', U2]","","[U R U' R', D']","[R: R' U R U', F] sledge","[R U R': U', R' D' R]","[U R U': U', R D' R']","[U R U' R', D]","[R': F2, R D' R' D] sledge","[R': F', R D' R' D] sledge","","[U' R' U': R' D R', U]","[D' R': U R U' R', D]","[R U R' U': D', R U R'] or D R D...","[U R U' R', D2]",
"BUL","[R': U2, R' D' R]","","[U' R': R' D' R, U']","[U R' U': R U R', D']","[U' R': U', R' D R]","[U' D R': R' D R, U']","[U R: D', R U' R']","[U R: R D R', U2]","[R': R' U R, D]","[R' U: U, R' D' R]","[R' U': U', R' D' R]","","[U2 R: U, R D' R']","[U' R': D R' D' R, U']","[R U R' D': R' D R, U2]","[D R': R' U R, D]","[U' R' U': R D R', U']","","[U' L' U, R]","[D' R': R' U R, D]","[U' R' U': R D' R', U']",
"BUR","","[R': D' R' D R, U2]","[R': D' R' D R, U']","[U R': U' R U R', D']","[U D R' U': R U R', D'] or D' R U'...","[R: U' R' U R, D']","[D R: U' R' U R, D']","","[R': D', U R U' R']","[U' R: D, U R' U' R]","[R' F: D, R U R'] new!","[U R': R' D' R, U']","[U' R: D', U R' U' R]","[R': D, U R U' R']","[R D' U': R' D' R, U2]","[R' F: D, R U' R'] different from Elliot","[D' R': D, U R U' R']","[R, U' L' U]","","[R': D' R' D R, U]","[D R': D, U R U' R']",
"BDR","[D R D' R', U']","[D': R' D' R, U2] but maybe switch to D U'...","[D': U', R' D' R]","[D' R: U, D R' D' R]","[D' R: R D' R', U']","[R D: U' R' U R, D2]","","[U D R: R D' R', U2]","[D', R U R']","","[F: R U R', D']","[R U: U, R' D' R]","[D': R U R', D']","[R' D: D, R' U' R]","[R U': R' D' R, U2]","[D': R U R', D2]","[R U R' U': R U R', D'] or D R D'...","[D' R': D, R' U R]","[R': U, D' R' D R]","","[R' D': R' U' R, D2] or D' R...",
"BDL","[D' R D R', U']","[D: U2, R' D R] but maybe switch to D' U'","[D: U', R' D R]","[U' D' R': R' D R, U]","[U' D' R': R' D2 R, U]","","[U R: D2, R U' R']","[U' R' U: R D' R', U2]","[U R' D': D', R U' R']","[U' R' U' R, D']","[D R': U R U R', D]","[U D R': R' D R, U']","","[D: D, U R U' R']","[D' R U': D' R' D R, U2]","[R' F': D2, R U R'] or D' R D...","[D2, U R U' R']","[U' R' U': U', R D' R']","[D R': U R U' R', D]","[R' D: R' U' R, D2] or D' R...","",
