"","BD","BL","BR","BU","DB","DF","DL","DR","FD","FL","FR","LB","LD","LF","RB","RD","RF","UB",
"BD","","[L, U M U']","[U: U R' U', M]","[D: r' U r, S]","","[U' D': R F R': S']","[S U': M, U2]","[R B R: S, R2]","M U M' U2 M' U' M U2","[L', U M U']","[r U': M', U2]","[r' U: U, r E' r']","[D, R' S' R]","[r' U: U, r' E r]","[r': S', R U' R']","[U2: S', R B R']","[M: R S' R', U']","[U': R' U R U', M]",
"BL","[U M U', L]","","[R U2 R: E', R2]","[S: U, R E' R']","[R E': R' S R, B]","[R E' R': S, R' F' R]","[S: U2, R E' R']","[U2 R: E', R2]","[U' M' U, L]","[U2 L': S', L2]","[R' U2 R: E', R2]","","[R b': r' U r, S']","[R' E: E, R U2 R']","[S R' S', l]","[R' E': E', R U2 R']","[S R S', l]","[U: R' E2 R, U]",
"BR","[U: M, U R' U']","[R U2 R': E', R2]","","[S U': R' S' R, U']","[R' U': M, U2]","[R' U: M', U2]","[L': E, L2]","[u2 R': E, R2]","[R' U': M, U2]","[R U2 R: E, R2]","[R: S, R2]","[R' U2 R, E']","[S, R' U2 R]","[R': U2, R' E R]","","[R': R' S' R, U2]","[R' U2 R, E]","[U', R S2 R']",
"BU","[D: S, r' U r]","[S: R E' R', U]","[S U': U', R' S' R]","","[U R' B': R2, E']","[D R B' R: S, R2]","[U': r U' r', S]","[R B' R: S, R2]","[R' F' r U: M, U2]","[S: R' E R, U]","[r U: M, U2]","[r' U': U', r E' r']","[S, r' U r]","[r' U': U', r E r']","[r': S', R U R']","[U' R' F R': S, R2]","[R S: R E R', U]","",
"DB","","[R E': B, R' S R]","[R' U: M, U2]","[U R' B': E', R2]","","[D: S, L2]","[S' R B R: S', R2]","[U' D' R' F': R S' R', F2]","[R' F' R U: M, U2]","[R' F2 R U: M, U2]","[R U: M, U2]","[R B: R' S R, B]","[r D' r', S']","[S R' B: R2, E]","[B, R' S R]","[U R B: R2, E']","[R: R B R', S]","[R B: R' S R, B2]",
"DF","[U' D': S', R F R']","[R E' R': R' F' R, S]","[R' U': M', U2]","[D R B' R': S, R2]","[D: L2, S]","","[S' R' F' R: S', R2]","[U' R' F: R S' R', F2]","","[R' E: F', R S R']","[R U': M', U2]","[S R F': R2, E']","[r' D r, S']","[R' F': R S R', F']","[R': R' F' R, S]","[U' R' F: E, R2]","[F', R S R']","[U' R' F: R S R', F2]",
"DL","[S U: M, U2]","[S: R E' R', U2]","[L: E, L2]","[U: S, r U' r']","[S' R B R': S', R2]","[S' R' F' R': S', R2]","","[S, L2]","[S U': M', U2]","[S: R' E R, U2]","[L': E', L2]","[E L: E, L2]","","[E L: E', L2]","[E' L': E', L2]","[U': S', R F R']","[E L: E, L2]","[U', R S' R2 S' R]",
"DR","[R B R': S, R2]","[U2 R': E', R2]","[u2 R: E, R2]","[R B' R': S, R2]","[U' D' R' F: R S' R', F2]","[U' R' F': R S' R', F2]","[L2, S]","","[R' F' R: S, R2]","[U2 R: E, R2]","[R U R' U': S, R2]","[S, R2] [U2, R E' R']","[U': S, r' D' r]","[S, R2] [U2, R' E R]","[S' U2 L': E, L2]","","[S' U2 L: E', L2]","[U: R E' R2 E R, U]",
"FD","M' U' M U2 M U' M' U2","[L, U' M' U]","[r' U: M, U2]","[R' F' r U': M, U2]","[R' F R U': M, U2]","","[S U: M', U2]","[R' F' R': S, R2]","","[f: U', R' E R]","[U': U' R U, M']","[r U': U', R E' R']","[D', R' S' R]","[R' F' R U: M', U2]","[M': R' S' R, U]","[U2: S', R' F' R]","[r: S, R' U R]","[D': U', R' S R]",
"FL","[U M U', L']","[U2 L: S', L2]","[R U2 R': E, R2]","[S: U, R' E R]","[R' F2 R U': M, U2]","[R' E: R S R', F']","[S: U2, R' E R]","[U2 R': E, R2]","[f: R' E R, U']","","[R' U2 R': E, R2]","[R E': E', R' U2 R]","[R' f: r U' r', S']","","[S R' S', l']","[R' E: E, R' U2 R]","[S R S', l']","[u': R S' R', U]",
"FR","[r U: M', U2]","[R' U2 R': E', R2]","[R': S, R2]","[r U': M, U2]","[R U': M, U2]","[R U: M', U2]","[L: E', L2]","[R U R' U': R2, S]","[U': M', U' R U]","[R' U2 R: E, R2]","","[R: U2, R E' R']","[S, R U2 R']","[R U2 R', E]","[R U2 R', E']","[R: R S' R', U2]","","[U', R' S2 R]",
"LB","[r' U: r E' r', U]","","[E', R' U2 R]","[r' U': r E' r', U']","[R B: B, R' S R]","[S R F': E', R2]","[E' L': E, L2]","[R E' R', U2] [R2, S]","[r U': r E' r', U']","[R E': R' U2 R, E']","[R: R E' R', U2]","","[R b': R' U' R, S']","[S L': S', L2]","[E' R: S, R2]","[U' R' F: R2, E']","[R: R B2 R', S]","[U: R E' R, U]",
"LD","[R' S' R, D]","[R B': r' U r, S]","[R' U2 R, S]","[r' U r, S]","[S', r D' r']","[S', r' D r]","","[U': r' D' r, S]","[R' S' R, D']","[R' F: r U' r', S]","[R U2 R', S]","[R B': R' U' R, S]","","[R' F: R U R', S]","[S', R D2 R']","[U' R' F R': S', R2]","[S', R' D2 R]","[U', R' S R]",
"LF","[r' U: r' E r, U]","[R' E: R U2 R', E]","[R': R' E R, U2]","[r' U': r' E r, U']","[S R' B: E, R2]","[R' F': F', R S R']","[E L: E', L2]","[R' E R, U2] [R2, S]","[R' F' R U': M', U2]","","[E, R U2 R']","[S L: S', L2]","[R' f: R U R', S]","","[R': R' F2 R, S]","[U R B': R2, E]","[E R': S, R2]","[U: R' E R, U]",
"RB","[M: U', R' S' R]","[l: S R' S']","","[M: U, R' S' R]","[R' S R, B]","[R': S, R' F' R]","[E' L: E', L2]","[S' U2 L: E, L2]","[M': U, R' S' R]","[l': S R' S']","[E', R U2 R']","[E' R': S, R2]","[R D2 R', S']","[R': S, R' F2 R]","","[E l' E', R']","[S' R': S', R2]","[U', R' S' R]",
"RD","[U2: R B R', S']","[R' E': R U2 R', E']","[R': U2, R' S' R]","[U' R' F R: S, R2]","[U R B: E', R2]","[U' R' F: R2, E]","[U': R F R', S']","","[U2: R' F' R, S']","[R E: R' U2 R, E]","[R: U2, R S' R']","[U' R' F: E', R2]","[U' R' F R: S', R2]","[U R B': E, R2]","[R', E l' E']","","[R, E' l E]","[U: R E R', U]",
"RF","[M: U', R S' R']","[l: S R S']","[E, R' U2 R]","[R S: U, R E R']","[R: S, R B R']","[R S R', F']","[E L': E, L2]","[S' U2 L: E', L2]","[M': U, R S' R']","[l': S R S']","","[R: S, R B2 R']","[R' D2 R, S']","[E R: S, R2]","[S' R: S', R2]","[E' l E, R]","","[U', R S' R']",
"UB","[U': M, R' U R U']","[U: U, R' E2 R]","[R S2 R', U']","","[R B': R' S R, B2]","[U' R' F': R S R', F2]","[R S' R2 S' R, U']","[U: U, R E' R2 E R]","M' U' M U' M' U' M U'","[E: R S' R', U']","[R' S2 R, U']","[U: U, R E' R']","[R' S R, U']","[U: U, R' E R]","[R' S' R, U']","[U: U, R E R']","[R S' R', U']","",
