"","URb","UBl","ULf","DRf","DFl","DLb","DBr","RBu","RUf","RFd","RDb","LFu","LUb","LBd","LDf","FRu","FUl","FLd","FDr","BLu","BUr","BRd","BDl",
"URb","","[Rw' U: R, U r U']","[Rw' U': U' R U, r]","[U Rw' U': U' R' U, r]","[3Lw: D2, r U r']","[D': r2, R U' R' U]","[r2, R U' R' U]","[R D': r, U' R' U]","[U Rw' U' Rw: U R' U', r]","[R' D': r, U' R U]","[D': r, R U' R' U]","[U', R' u' R]","[U' 3Rw: U R' U', l]","[U', R d' R']","[D: r, R U' R' U]","[r': U r U', R]","[x Rw2 U: R, U r U']","[r' U: r, U L' U']","[r, R U' R' U]","[Uw': R' u' R, U]","[r', R' U' R U]","[r' U r U', R']","[U': l, Rw' U R U']",
"UBl","[Rw' U: U r U', R]","","[Rw' U2: r, R U' R' U]","[Rw' U: U r U', R']","[D Rw' U: U r U', R']","[Lw' U: L', U l U']","[D' Rw' U: U r U', R']","[U R' U': r', U' R U]","[3Rw' U': U' r2 U, R]","[Rw': D', r U2 r']","[r' D' r, U2]","[U': R' u' R, U2]","[Rw' U2 Rw: r, U R' U']","[U': R d' R', U2]","[r' D r, U2]","[r' U: U r U', R]","[Rw' D: l, U' R2 U]","[Rw' U': U' r U, L']","[U2, l' D2 l]","[Rw' U': U' r U, L]","[Rw': l' D2 l, U2]","[Rw' U: r, R U' R' U]","[r' D2 r, U2]",
"ULf","[Rw' U': r, U' R U]","[Rw' U2: R U R' U', r]","","[Rw' U': r, U' R' U]","[D Rw' U': r, U' R' U]","[U' D': R U' R' U, r2]","[U': R U' R' U, r2]","[R' U': R' U' R U, r']","[U': R' U' R U, r']","[R U': R' U' R U, r']","[U' D': R U' R', r]","[U': R' u' R, U']","[Rw' U' l': U2, l' D2 l]","[U': R d' R', U']","[U' D: R U' R' U, r]","[r' U': r, U' R U]","[Rw' U' Rw: r, U R' U']","[3Rw': U' r U, L']","[U': R U' R' U, r]","[3Rw': U' r U, L]","[3Lw: U L' U', r]","[U': R', r' U r U']","[3Rw' U2: R U' R' U, r]",
"DRf","[U Rw' U': r, U' R' U]","[Rw' U: R', U r U']","[Rw': U': U' R' U, r]","","[U': U' l2 U, R2]","[R D': r2, U' R U]","[Rw r: U' R U, r2]","[R D': r, U' R U]","[R: R U' R', u]","[R' D': r, U' R' U]","[D' Rw D: U' R2 U, r']","[3Lw' U: U, R u' R']","[U' D' 3Rw: l', U R' U']","[R': R' U' R, d']","[R D: U' R U, r]","[D: U' R U, r2]","[r: U2, r D r']","[D: U L' U', r2]","[Rw: U' R U, r']","[D: U L U', r2]","[R': r', U' R' U]","[D: U' R' U, r2]","[U': U' l U, R2]",
"DFl","[Lw: U, r' D2 r]","[D Rw' U: R', U r U']","[D Rw' U': U' R' U, r]","[U': R2, U' l2 U]","","[Lw U: L, U l U']","[D R D': r2, U' R U]","[r U: R', U l' U']","[Rw U: R', U l' U']","[r U: R, U l' U']","[Rw U: R, U l' U']","[Rw U': L', U' l' U]","[U' 3Rw: l', U R' U']","[Rw U': L, U' l' U]","[D Rw: U' R U, r']","[U': R, U' l2 U]","[r: U2, r D2 r']","[U': L', U l2 U']","[Rw D: U' R2 U, r']","[U: L, U l2 U']","[D R': r', U' R' U]","[U': R', U' l2 U]","[U' 3Rw': l, U R U']",
"DLb","[D': R U' R' U, r2]","[Lw' U: U l U', L']","[U' D': r2, R U' R' U]","[R D': U' R U, r2]","[Lw U: U l U', L]","","[D': U' R2 U, r2]","[D' r: U R' U', r2]","[Rw D': U R' U', r']","[D' r: U R U', r2]","[Rw D': U R U', r']","[Rw D': U' L' U, r']","[U' D 3Rw: l', U R' U']","[L' D: r, U L' U']","[D Rw D: U' R2 U, r']","[D': U' R U, r2]","[r: U2, r D' r']","[D' r2 D, L]","[3Lw': U L' U', r']","[D' r2 D, L']","[3Lw: U L U', r]","[D': U' R' U, r2]","[D2 Rw: U' R U, r']",
"DBr","[R U' R' U, r2]","[D' Rw' U: R', U r U']","[U': r2, R U' R' U]","[R: U' R U, r2]","[D R D': U' R U, r2]","[D': r2, U' R2 U]","","[r: U R' U', r2]","[Rw: U R' U', r2]","[r: U R U', r2]","[D' Rw: U' R U, r']","[r: U' L' U, r2]","[3Lw': U' L U, r2]","[r: U' L U, r2]","[3Lw': U' L' U, r2]","[U' R U, r2]","[D r: U2, r D' r']","[U L' U', r2]","[U' Rw: r, U' R' U]","[U L U', r2]","[D' R2': U' R' U, r]","[U' R' U, r2]","[U' r: r U r', D2]",
"RBu","[R D': U' R' U, r]","[U R' U': U' R U, r']","[R' U': r', R' U' R U]","[R D': U' R U, r]","[r U: U l' U', R']","[D' r': U R' U', r2]","[r': U R' U', r2]","","[R U R': R', U' r U]","[U R': U' r U, R2]","[U R': U' r U, R']","[u: R U' R', u2]","[Rw2 U: U R U', r']","[3Lw U: U R' U', r2]","[D r: r, U R' U']","[u, R U' R']","[Rw2 U': R, U' r' U]","[R D': U L' U', r]","[r: r, U R' U']","[u', L U L']","[U R' U', r]","[Uw2 R': R' u' R, U]","[D' U R': U' r U, R']",
"RUf","[U Rw' U' Rw: r, U R' U']","[3Rw' U': R, U' r2 U]","[U': r', R' U' R U]","[R: u, R U' R']","[Rw U: U l' U', R']","[Rw D': r', U R' U']","[Rw: r2, U R' U']","[R U R': U' r U, R']","","[R' U R: U' r U, R]","[D' Rw: r, U R' U']","[U' Rw': u', R U' R']","[Rw' U: U R U', r2]","[x' U: U R U', r2]","[D Rw: r, U R' U']","[F: R, U' r2 U]","[Rw' U': R, U' r2 U]","[L' U': r', R' U' R U]","[Rw: r, U R' U']","[Rw: R' U R, u]","[R U R' U', r]","[Rw D: U R' U', r']","[3Rw U: U l' U', R']",
"RFd","[R' D': U' R U, r]","[R': U2, r' D r]","[R U': r', R' U' R U]","[R' D': U' R' U, r]","[r U: U l' U', R]","[D' r': U R U', r2]","[r': U R U', r2]","[U R: U' r U, R2]","[R' U R: R, U' r U]","","[U R: U' r U, R]","[R' D' Rw: U' L' U, r]","[Rw2 U: U R' U', r']","[3Lw U: U R U', r2]","[D r: r, U R U']","[Uw R U': r, U' L' U]","[r'  U': R, U' r2 U]","[d', L' U L]","[r: r, U R U']","[Uw R: U' r U, R2]","[U R U', r]","[R': R' u R, U']","[D' U R: U' r U, R]",
"RDb","[D': R U' R' U, r]","[U2, r' D' r]","[U' D': r, R U' R' U]","[D' Rw D: r', U' R2 U]","[Rw U: U l' U', R]","[Rw D': r', U R U']","[D' R: U' R U, r]","[U R': R', U' r U]","[D' Rw: U R' U', r]","[U R: R, U' r U]","","[D' Rw: U' L' U, r]","[Rw' U: U R' U', r2]","[D' Rw: U' L U, r]","[U D': r U' r', D2]","[D': U' R U, r]","[l': l' D l, U2]","[D': U L' U', r]","[Rw: r, U R U']","[Uw R': R', U' r U]","[R: U R U', r]","[D': U' R' U, r]","[D, l U2 l']",
"LFu","[R' u' R, U']","[U: R' u' R, U2]","[U': U', R' u' R]","[3Lw' U: R u' R', U]","[Rw U': U' l' U, L']","[Rw D': r', U' L' U]","[r': U' L' U, r2]","[u': R U' R', u2]","[U' r': U', R' u' R]","[R' D' Rw: r, U' L' U]","[D' Rw: r, U' L' U]","","[3Rw': L', U r2 U']","[U' L': U r U', L2]","[L, D r' D']","[u', R U' R']","[Rw' U: L', U r2 U']","[u x': U' r U, L2]","[Rw: r, U' L' U]","[u, L U L']","[U' L' U, r]","[R': R' u' R, U']","[Uw': U' l U, R]",
"LUb","[U' Rw: U R' U', l]","[Rw' U2 Rw: U R' U', r]","[Rw' U' l': l' D2 l, U2]","[U' D' 3Rw: U R' U', l']","[U' 3Rw: U R' U', l']","[U' D 3Rw: U R' U', l']","[3Lw: U' L' U, r2]","[Rw2 U: r', U R U']","[Rw' U: r2, U R U']","[Rw2 U: r', U R' U']","[Rw' U: r2, U R' U']","[3Rw': U r2 U', L']","","[3Rw': U r2 U', L]","[D: r, F' L F]","[Rw U: R U R' U', r]","[Rw2: U', l D2 l']","[F': L', U r2 U']","[r, F' L F]","[L U': U', R' u' R]","[Lw': U' L U, r]","[R' U' Rw: U R' U', l']","[3Rw' U2 Rw: U R' U', r]",
"LBd","[R d' R', U']","[U: R d' R', U2]","[U': U', R d' R']","[R': d', R' U' R]","[Rw U': U' l' U, L]","[L' D: U L' U', r]","[r': U' L U, r2]","[3Lw U: r2, U R' U']","[x' U: r2, U R U']","[3Lw U: r2, U R U']","[D' Rw: r, U' L U]","[U' L: U r U', L2]","[x': U r2 U', L']","","[L', D r' D']","[R: R d' R', U']","[Lw': l' D' l, U2]","[d, L' U L]","[Rw: r, U' L U]","[Uw' L: U r U', L2]","[U' L U, r]","[d', R' U' R]","[D2 Rw: r, U' L U]",
"LDf","[D: R U' R' U, r]","[U2, r' D r]","[U' D: r, R U' R' U]","[R D: r, U' R U]","[D R: U' R U, r]","[D Rw D: r', U' R2 U]","[3Lw': r2, U' L' U]","[D r: U R' U', r]","[D Rw: U R' U', r]","[D r: U R U', r]","[U D: r U' r', D2]","[D r' D', L]","[D: F' L F, r]","[D r' D', L']","","[D: U' R U, r]","[l': l' D' l, U2]","[D: U L' U', r]","[U: D, r U' r']","[D: U L U', r]","[Lw': U' L' U, r]","[D: U' R' U, r]","[D', l U2 l']",
"FRu","[r': R, U r U']","[r' U: R, U r U']","[r' U': U' R U, r]","[D: r2, U' R U]","[U': U' l2 U, R]","[D': r2, U' R U]","[r2, U' R U]","[R U' R', u]","[F: U' r2 U, R]","[Uw R U': U' L' U, r]","[D': r, U' R U]","[R U' R', u']","[Rw U: r, R U R' U']","[R: U', R d' R']","[D: r, U' R U]","","[Lw U': U' l2 U, R]","[L D': r2, U' R U]","[r, U' R U]","[R U' R', u2]","[r', U' R U]","[Rw': R2, U r U']","[U': U' l U, R]",
"FUl","[x Rw2 U: U r U', R]","[Rw' D: U' R2 U, l]","[Rw' U' Rw: U R' U', r]","[r: r D r', U2]","[r: r D2 r', U2]","[r: r D' r', U2]","[D r: r D' r', U2]","[Rw2 U': U' r' U, R]","[Rw' U': U' r2 U, R]","[r' U': U' r2 U, R]","[l': U2, l' D l]","[Rw' U: U r2 U', L']","[Rw2: l D2 l', U']","[Lw': U2, l' D' l]","[l': U2, l' D' l]","[Lw U': R, U' l2 U]","","[Rw2 F2 Rw2: U' R' U, r']","[l': U2, l' D2 l]","[Lw2 U: L', U l U']","[Rw: U2, l D2 l']","[Rw: U2, l D' l']","[D' l': U2, l' D l]",
"FLd","[r' U: U L' U', r]","[Rw' U': L', U' r U]","[3Rw': L', U' r U]","[D: r2, U L' U']","[U: U l2 U', L']","[L, D' r2 D]","[r2, U L' U']","[R D': r, U L' U']","[L' U': R' U' R U, r']","[L' U L, d']","[D': r, U L' U']","[u x': L2, U' r U]","[F': U r2 U', L']","[L' U L, d]","[D: r, U L' U']","[L D': U' R U, r2]","[Rw2 F2 Rw2: r', U' R' U]","","[r, U L' U']","[x': L2, U' r U]","[r', U L' U']","[Rw' U: U L' U', r]","[U: U l U', L']",
"FDr","[R U' R' U, r]","[l' D2 l, U2]","[U': r, R U' R' U]","[R: U' R U, r]","[Rw D: r', U' R2 U]","[Lw': U L' U', r]","[U' Rw: U' R' U, r]","[r: U R' U', r]","[Rw: U R' U', r]","[r: U R U', r]","[U: r U' r', D']","[Rw: U' L' U, r]","[F' L F, r]","[Rw: U' L U, r]","[U: r U' r', D]","[U' R U, r]","[l': l' D2 l, U2]","[U L' U', r]","","[U L U', r]","[D R: U R U', r]","[U R' U', r]","[D2, l U2 l']",
"BLu","[u': R' u' R, U']","[Rw' U': L, U' r U]","[x': U' r U, L']","[D: r2, U L U']","[U: U l2 U', L]","[L', D' r2 D]","[r2, U L U']","[L U L', u']","[Rw: u, R' U R]","[Uw R': U' r U, R2]","[Uw R': U' r U, R']","[L U L', u]","[L U': R' u' R, U']","[Uw' L': U r U', L2]","[D: r, U L U']","[u2, R U' R']","[Lw2 U: U l U', L']","[x': U' r U, L2]","[r, U L U']","","[r', U L U']","[3Lw U': r, U' R' U]","[U: U l U', L]",
"BUr","[R' U' R U, r']","[Rw': U2, l' D2 L]","[Lw: U L' U', r']","[R': U' R' U, r']","[D R': U' R' U, r']","[Lw: U L U', r']","[D' R': U' R' U, r']","[r, U R' U']","[r, R U R' U']","[r, U R U']","[Rw: U R U', r']","[r, U' L' U]","[3Lw': U' L U, r']","[r, U' L U]","[3Lw': U' L' U, r']","[U' R U, r']","[Rw: l D2 l', U2]","[U L' U', r']","[D Rw: U R U', r']","[U L U', r']","","[U' R' U, r']","[D' Rw: U R U', r']",
"BRd","[R', r' U r U']","[Rw' U: R U' R' U, r]","[U': r' U r U', R']","[D: r2, U' R' U]","[U': U' l2 U, R']","[D': r2, U' R' U]","[r2, U' R' U]","[Uw2 R': U, R' u' R]","[Rw D: r', U R' U']","[R': U', R' u R]","[D': r, U' R' U]","[R': U', R' u' R]","[R' U' 3Rw: U R' U', l]","[R' U' R, d']","[D: r, U' R' U]","[Rw': U r U', R2]","[Rw: l D' l', U2]","[Rw' U: r, U L' U']","[r, U' R' U]","[3Lw U': U' R' U, r]","[r', U' R' U]","","[U': U' l U, R']",
"BDl","[U': Rw' U R U', l]","[U2, r' D2 r]","[3Rw' U2: r, R U' R' U]","[U': R2, U' l U]","[U' 3Rw': U R U', l]","[D2 R: U' R U, r]","[U' r: D2, r U r']","[D' U R': R', U' r U]","[3Rw U: R', U l' U']","[D' U R: R, U' r U]","[l U2 l', D]","[Uw': R, U' l U]","[3Rw' U2 Rw: r, U R' U']","[D2 Rw: U' L U, r]","[l U2 l', D']","[U': R, U' l U]","[D' l': l' D l, U2]","[U: L', U l U']","[l U2 l', D2]","[U: L, U l U']","[D' R: U R U', r]","[U': R', U' l U]","",
