"","Bdl","Bdr","Bul","Bur","Dbl","Dbr","Dfl","Dfr","Fdl","Fdr","Ful","Fur","Ldb","Ldf","Lub","Luf","Rdb","Rdf","Rub","Ruf","Ubr","Ufl","Ufr",
"Bdl","","","","","[D2 Rw': U r' U', l]","[D' Rw': U r' U', l]","[D Rw': U r' U', l]","[Rw': U r' U', l]","[F2: U r U', l]","[F': U r U', l]","[F: U r U', l]","[U r U', l]","[S: l, Uw r Uw']","[Uw: l U' l', d']","[3Rw' U: u', l' U' l]","[u': U r U', l]","[Rw': Uw r Uw', l]","[R2: Uw r Uw', l]","[Uw r Uw', l]","[Rw: Uw r Uw', l]","[Rw': U r U', l]","[U 3Rw': U r U', l']","[Rw' F': U r U', l]",
"Bdr","","","","","[D: l2, U r' U']","[D2: l2, U r' U']","[l2, U r' U']","[D': l2, U r' U']","[r' U r, d2]","[3Rw U': r2, U' l U]","[l', U r' U']","[F': l', U r' U']","[r' U r, d']","[Rw' U: U, r' d r]","[3Rw': u', l' U' l]","[Rw': U, r' u' r]","[Rw': U, r' u r]","[r' U r, d]","[3Rw': u, l' U' l]","[u: l', U r' U']","[M: U' l' U, r]","[U l: U' l' U, r']","[l' U': r', U' l U]",
"Bul","","","","","[D' U': U' r2 U, l]","[U': U' r2 U, l]","[D 3Rw' U: l', U r' U']","[3Rw' U: l', U r' U']","[F' U': U' r U, l]","[U': U' r U, l]","[F: u2, r U r']","[u2, r U r']","[L2 u': u', r U r']","[L' u': u', r U r']","[3Rw' U2: u', l' U' l]","[U: l U2 l', u]","[R' u: u, r U r']","[R2 u: u, r U r']","[u: u, r U r']","[U': Uw' r' Uw, l]","[U2 3Rw': U' r U, l']","[U' Rw': U' r U, l]","[Rw' U': U' r U, l]",
"Bur","","","","","[U': l2, U' r' U]","[D U': l2, U' r' U]","[U' D': l2, U' r' U]","[3Rw' U': U' l' U, r']","[U': l', U' r' U]","[U' 3Rw: r2, U l U']","[r' U2 r, u2]","[3Rw' U': U' l' U, r2]","[Rw' U: r d' r', U2]","[Rw': U2, r' d r]","[r' U2 r, u]","[U2: Uw l Uw', r']","[Rw' U: r' u r, U2]","[R: r' U2 r, u']","[3Rw': u, l' U2 l]","[r' U2 r, u']","[U', l u2 l']","[U, l u2 l']","[U2, l u2 l']",
"Dbl","[D2 3Rw': U r' U', l']","[D: U r' U', l2]","[D' U': l, U' r2 U]","[U': U' r' U, l2]","","","","","[U' D' 3Rw: U' r U, l]","[U': U' r U, l2]","[Uw2: r', Uw l2 Uw']","[D: U r U', l2]","[U l': l' U2 l, d]","[3Uw': U' r U, l2]","[D' Rw': r' U2 r, u]","[Uw' F: U' r U, l2]","[R' D: Uw r Uw', l2]","[Dw: U r' U', l2]","[D: Uw r Uw', l2]","[Uw': U' r' U, l2]","[D: l2, D r2 D']","[U': l2, D' r2 D]","[Rw' U': U' r U, l2]",
"Dbr","[D' 3Rw': U r' U', l']","[D2: U r' U', l2]","[U': l, U' r2 U]","[D U': U' r' U, l2]","","","","","[U' 3Rw: U' r U, l]","[U' 3Rw: r, U l U']","[D' 3Rw: U r U', l]","[D2: U r U', l2]","[3Uw': l', U' r2 U]","[Rw: r U2 r', d]","[Rw': r' U2 r, u]","[D' Rw: r U r', u']","[R' Uw': l, Uw' r2 Uw]","[R2 Uw': l, Uw' r2 Uw]","[Uw': l, Uw' r2 Uw]","[R Uw': l, U' r2 U]","[D': D' l2 D, r2]","[U': D l2 D', r2]","[D Rw' U': U' r U, l2]",
"Dfl","[D 3Rw': U r' U', l']","[U r' U', l2]","[D 3Rw' U: U r' U', l']","[D' U': U' r' U, l2]","","","","","[F2: U r U', l2]","[F': U r U', l2]","[D 3Rw: U r U', l]","[U r U', l2]","[3Uw: r', U' l2 U]","[Fw: l' u l, U']","[U l': l' U' l, u']","[u': U r U', l2]","[R': Uw r Uw', l2]","[Rw2: Uw r Uw', l2]","[Uw r Uw', l2]","[R: Uw r Uw', l2]","[l2, D r2 D']","[U: D r2 D', l2]","[Rw' F': U r U', l2]",
"Dfr","[3Rw': U r' U', l']","[D': U r' U', l2]","[3Rw' U: U r' U', l']","[3Rw' U': r', U' l' U]","","","","","[3Rw U: U r U', l]","[3Rw U': r, U' l U]","[3Rw: U r U', l]","[D': U r U', l2]","[Rw': r' U r, d']","[D Rw: r U2 r', d]","[u' 3Rw: U r U', l]","[Rw: r U r', u']","[R' D': Uw r Uw', l2]","[Rw2: U, r' u r]","[D': Uw r Uw', l2]","[Rw: r U r', u]","[D' l2 D, r2]","[U: r2, D' l2 D]","[l U': r2, U' l' U]",
"Fdl","[F2: l, U r U']","[d2, r' U r]","[F' U': l, U' r U]","[U': U' r' U, l']","[U' D' Rw: U' r U, l']","[U' Rw: U' r U, l']","[F2: l2, U r U']","[3Rw U: l, U r U']","","","","","[z: l', Uw r Uw']","[z U: l', Uw r Uw']","[z U': l', Uw r Uw']","[F2: r U r', u']","[F': r U2 r', d']","[R Uw': U' r' U, l']","[F: Uw r Uw', l']","[Uw': U' r' U, l']","[U2 3Rw: U' r' U, l]","[U' Rw: U' r' U, l']","[Rw' U': U' r U, l']",
"Fdr","[F': l, U r U']","[3Rw U': U' l U, r2]","[U': l, U' r U]","[U' 3Rw: U l U', r2]","[U': l2, U' r U]","[U' 3Rw: U l U', r]","[F': l2, U r U']","[3Rw U': U' l U, r]","","","","","[Rw U: r d' r', U2]","[r U2 r', d]","[Rw: U2, r u r']","[F': r U r', u']","[r U2 r', d']","[R': r U2 r', d']","[Uw': l, Uw' r Uw]","[Rw U: r' u r, U2]","[U2 l': U l U', r]","[U' M': U l U', r']","[U' Lw U: r, U l' U']",
"Ful","[F: l, U r U']","[U r' U', l']","[F: r U r', u2]","[u2, r' U2 r]","[Uw': l2, Uw' r' Uw]","[D' Rw: U r U', l']","[D Rw: U r U', l']","[Rw: U r U', l']","","","","","[S: l', Uw r Uw']","[z: u, r U2 r']","[U: l' U' l, u']","[F: r U r', u']","[Rw': Uw r Uw', l']","[R2: Uw r Uw', l']","[Uw r Uw', l']","[Rw: Uw r Uw', l']","[Rw: U r' U', l']","[U 3Rw: U r' U', l]","[r u2 r', U2]",
"Fur","[l, U r U']","[F': U r' U', l']","[r U r', u2]","[3Rw' U': r2, U' l' U]","[D: l2, U r U']","[D2: l2, U r U']","[l2, U r U']","[D': l2, U r U']","","","","","[Rw: U, r d' r']","[L': r U r', u']","[U: Uw' l' Uw, r]","[r U r', u']","[R': r U r', u]","[R2: r U r', u]","[r U r', u]","[Rw: U, r' u r]","[M': U' l U, r']","[Uw: U, r' u' r]","[l' U': r, U' l U]",
"Ldb","[S: Uw r Uw', l]","[d', r' U r]","[L2 u': r U r', u']","[Rw' U': r d' r', U2]","[U l': d, l' U2 l]","[3Uw': U' r2 U, l']","[3Uw: U' l2 U, r']","[Rw': d', r' U r]","[z: Uw r Uw', l']","[Rw U': r d' r', U2]","[S: Uw r Uw', l']","[Rw: r d' r', U]","","","","","[R d': r' U r, d2]","[d': r' U r, d2]","[R' 3Uw: U' l' U, r']","[3Uw: U' l' U, r']","[r d' r', U]","[l d l', U']","[U': r d' r', U2]",
"Ldf","[3Uw: l U' l', d]","[Rw' U: r' d r, U]","[L' u': r U r', u']","[Rw': r' d r, U2]","[3Uw': l2, U' r U]","[Rw: d, r U2 r']","[Fw: U', l' u l]","[D Rw: d, r U2 r']","[z U: Uw r Uw', l']","[d, r U2 r']","[z: r U2 r', u]","[L': u', r U r']","","","","","[d: r U2 r', d2]","[R' d: r U2 r', d2]","[3Uw: r, U' l U]","[R 3Uw: r, U' l U]","[U: r' d r, U]","[U': r' d r, U']","[r' d r, U2]",
"Lub","[3Rw' U: l' U' l, u']","[Rw': U', l u' l']","[3Rw' U2: l' U' l, u']","[u, r' U2 r]","[D' Rw': u, r' U2 r]","[Rw': u, r' U2 r]","[U l': u', l' U' l]","[u' Rw: U r U', l']","[z U': Uw r Uw', l']","[Rw: r u r', U2]","[U: u', l' U' l]","[U: r, Uw' l' Uw]","","","","","[R2 u: r' U2 r, u2]","[R u: r' U2 r, u2]","[R' u: r' U2 r, u2]","[u: r' U2 r, u2]","[U', l u' l']","[U, l u' l']","[r u r', U2]",
"Luf","[u': l, U r U']","[Rw': r' u' r, U]","[Uw: l U2 l', u']","[U2: r', Uw l Uw']","[Uw' F: l2, U' r U]","[D' Rw: u', r U r']","[u': l2, U r U']","[Rw: u', r U r']","[F2: u', r U r']","[F': u', r U r']","[F: u', r U r']","[u', r U r']","","","","","[R' u': r U r', u2]","[R2 u': r U r', u2]","[u': r U r', u2]","[R u': r U r', u2]","[r' u' r, U]","[U: U, r' u' r]","[U': r' u' r, U2]",
"Rdb","[3Rw': Uw r Uw', l']","[Rw': r' u r, U]","[R' u: r U r', u]","[Rw' U': r' u r, U2]","[R' D: l2, Uw r Uw']","[R' Uw': Uw' r2 Uw, l]","[R': l2, Uw r Uw']","[R' D': l2, Uw r Uw']","[F': d', r U2 r']","[d', r U2 r']","[Rw': l', Uw r Uw']","[R': u, r U r']","[R d: r' U r, d2]","[d': r U2 r', d2]","[R2 u': r' U2 r, u2]","[R' u: r U r', u2]","","","","","[U', l' d l]","[U': r' d' r, U']","[r' d' r, U2]",
"Rdf","[R2: l, Uw r Uw']","[d, r' U r]","[R2 u: r U r', u]","[R: u', r' U2 r]","[Dw: l2, U r' U']","[R2 Uw': Uw' r2 Uw, l]","[3Rw2: Uw r Uw', l2]","[Rw2: r' u r, U]","[R Uw': l', U' r' U]","[R': d', r U2 r']","[R2: l', Uw r Uw']","[R2: u, r U r']","[d: r' U r, d2]","[R' d': r U2 r', d2]","[R u': r' U2 r, u2]","[R2 u: r U r', u2]","","","","","[r d r', U]","[l d' l', U']","[Rw': d', r U2 r']",
"Rub","[l, Uw r Uw']","[Rw': U', l u l']","[u: r U r', u]","[Rw': U2, l u l']","[D: l2, Uw r Uw']","[Uw': Uw' r2 Uw, l]","[l2, Uw r Uw']","[D': l2, Uw r Uw']","[F: l', Uw r Uw']","[Uw': Uw' r Uw, l]","[l', Uw r Uw']","[u, r U r']","[R' 3Uw: r', U' l' U]","[3Uw: U' l U, r]","[R' u': r' U2 r, u2]","[u: r U r', u2]","","","","","[r' u r, U]","[U: U, r' u r]","[U': r' u r, U2]",
"Ruf","[Rw: l, Uw r Uw']","[Uw: r', U' l' U]","[U': l, Uw' r' Uw]","[u', r' U2 r]","[Uw': l2, U' r' U]","[R Uw': Uw' r2 Uw, l]","[R: l2, Uw r Uw']","[Rw: u, r U r']","[Uw': l', U' r' U]","[Rw U': r' u r, U2]","[3Rw: Uw r Uw', l]","[R: u, r U r']","[3Uw: r', U' l' U]","[R 3Uw: U' l U, r]","[u': r' U2 r, u2]","[R u: r U r', u2]","","","","","[U', l u l']","[U, l u l']","[r u' r', U2]",
"Ubr","[3Rw': U r U', l']","[l': U' l U, r']","[U2 Rw': U' r U, l]","[l u2 l', U']","[D: D r2 D', l2]","[D': r2, D' l2 D]","[D r2 D', l2]","[r2, D' l2 D]","[U2 Rw: U' r' U, l']","[U2 M': U l U', r']","[3Rw: U r' U', l]","[l': U' l U, r]","[U, r d' r']","[U: U, r' d r]","[l u' l', U']","[U, r' u' r]","[l' d l, U']","[U, r d r']","[U, r' u r]","[l u l', U']","","","",
"Ufl","[U Rw': U r U', l]","[U M: U' l' U, r]","[U' 3Rw': U' r U, l']","[l u2 l', U]","[U': D' r2 D, l2]","[U': r2, D l2 D']","[U: l2, D r2 D']","[U: D' l2 D, r2]","[U' 3Rw: U' r' U, l]","[U' l': U l U', r]","[U Rw: U r' U', l']","[Uw: r' u' r, U]","[U', l d l']","[U': U', r' d r]","[l u' l', U]","[U: r' u' r, U]","[U': U', r' d' r]","[U', l d' l']","[U: r' u r, U]","[l u l', U]","","","",
"Ufr","[Rw' F': l, U r U']","[l' U': U' l U, r']","[Rw' U': l, U' r U]","[l u2 l', U2]","[Rw' U': l2, U' r U]","[D Rw' U': l2, U' r U]","[Rw' F': l2, U r U']","[l U': U' l' U, r2]","[Rw' U': l', U' r U]","[U' Lw U: U l' U', r]","[U2, r u2 r']","[l' U': U' l U, r]","[U r d' r', U2]","[U2, r' d r]","[U2, r u r']","[U: r' u' r, U2]","[U2, r' d' r]","[R': U2, r' d' r]","[U: r' u r, U2]","[U2, r u' r']","","","",
